Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
44.35,-0.387948
44.4,-0.3591321
44.45,-0.3912518
44.5,-0.797529
44.55,-0.9004504
44.6,-0.9873814
44.65,-1.025053
44.7,-0.9891902
44.75,-1.079734
44.8,-0.8500273
44.85,2.518537E-02
44.9,1.966767
44.95,6.630168
45,15.96779
45.05,32.86959
45.1,58.51526
45.15,90.46334
45.2,123.9324
45.25,151.498
45.3,165.6993
45.35,159.8476
45.4,137.594
45.45,105.5871
45.5,71.63223
45.55,42.64164
45.6,22.18412
45.65,10.92066
45.7,5.131317
45.75,2.613306
45.8,1.664147
45.85,0.9918306
45.9,0.4666284
45.95,6.975617E-02
46,-2.002117E-02
46.05,2.542932E-02
46.1,6.603525E-02
46.15,0.2278404
46.2,0.3150267
46.25,0.2883773
46.3,0.1765846
46.35,3.460937E-02
46.4,-0.3870129
46.45,-0.5935275
46.5,-0.6369669
46.55,-0.5426965
46.6,-0.6424141
46.65,-0.6946045
46.7,-0.8908652
46.75,-1.112918
46.8,-1.216807
46.85,-1.119046
46.9,-1.086379
46.95,-1.056266
47,-0.7791294
47.05,-0.7431662
47.1,-0.6657488
47.15,-0.670599
47.2,-0.8043393
47.25,-0.9840004
47.3,-1.05369
47.35,-0.9812374
47.4,-0.961096
47.45,-0.885955
47.5,-0.7062393
47.55,-0.5653373
47.6,-0.4382625
47.65,-0.6834495
47.7,-0.7465996
47.75,-0.71848
47.8,-0.761649
47.85,-0.7729834
47.9,-0.7573239
47.95,-0.5429167
48,-0.5476639
48.05,-0.448209
48.1,-0.5839379
48.15,-0.8388176
48.2,-0.660499
48.25,-0.5616135
48.3,-0.4888048
48.35,-0.3487843
48.4,-0.2863714
48.45,-0.3839238
48.5,-0.5584253
48.55,-0.4400691
48.6,-0.3558185
48.65,-0.2135999
48.7,-4.892326E-02
48.75,-0.1326081
48.8,-6.904528E-02
48.85,-8.660737E-02
48.9,3.484029E-02
48.95,5.922259E-02
49,-7.644145E-02
49.05,-0.1872499
49.1,-0.3001663
49.15,-0.2645758
49.2,-0.1750536
49.25,4.699716E-02
49.3,1.469382E-02
49.35,-0.2295867
49.4,-0.1985998
49.45,-0.1879499
49.5,-8.324432E-02
49.55,0.2062075
49.6,0.2884016
49.65,0.4594004
49.7,0.4370373
49.75,0.4258909
49.8,0.1437728
49.85,-0.2062456
49.9,-0.2422698
49.95,-0.1135221
50,4.762478E-02
50.05,0.2519475
50.1,0.3713739
50.15,0.2319573
50.2,6.923398E-02
50.25,0.3348866
50.3,1.196898
50.35,3.884329
50.4,10.83305
50.45,24.87035
50.5,49.09095
50.55,84.06885
50.6,124.4235
50.65,161.5383
50.7,184.1683
50.75,184.5502
50.8,160.3337
50.85,122.5599
50.9,82.50684
50.95,49.08329
51,25.8651
51.05,12.7045
51.1,7.10979
51.15,4.877342
51.2,3.929747
51.25,3.674988
51.3,3.507445
51.35,3.483147
51.4,3.5083
51.45,3.456232
51.5,3.049088
51.55,2.562698
51.6,2.424736
51.65,2.481815
51.7,2.497002
51.75,2.371658
51.8,2.042627
51.85,1.706338
51.9,1.239444
51.95,1.16683
52,0.9508965
52.05,0.6943862
52.1,0.7576357
52.15,0.9171972
52.2,1.10685
52.25,1.242866
52.3,1.378551
52.35,1.217858
52.4,1.100873
52.45,1.192139
52.5,1.269509
52.55,1.34511
52.6,1.322155
52.65,1.301632
52.7,1.14102
52.75,0.9027721
52.8,0.8761874
52.85,0.8143439
52.9,0.7502257
52.95,0.8511538
53,0.98536
53.05,1.07861
53.1,1.204411
53.15,1.548304
53.2,1.67938
53.25,1.61827
53.3,1.591199
53.35,1.695254
53.4,1.626673
53.45,1.656857
53.5,1.677216
53.55,1.478746
53.6,1.213783
53.65,1.259075
53.7,1.129325
53.75,0.9602036
53.8,0.966351
53.85,1.121564
53.9,1.270553
53.95,1.391687
54,1.518198
54.05,1.254285
54.1,0.8667368
54.15,0.7775491
54.2,0.872109
54.25,0.9595512
54.3,1.128425
54.35,1.319645
54.4,1.349213
54.45,1.208008
54.5,1.260148
54.55,1.016027
54.6,0.7453222
54.65,0.7541666
54.7,0.9059173
54.75,1.259908
54.8,1.489432
54.85,1.872203
54.9,2.525477
54.95,4.95982
55,11.99574
55.05,27.81473
55.1,57.95774
55.15,102.0292
55.2,153.8443
55.25,202.4415
55.3,233.4644
55.35,235.0676
55.4,205.7413
55.45,158.1596
55.5,106.6987
55.55,63.51334
55.6,34.03176
55.65,18.19496
55.7,11.24557
55.75,8.276635
55.8,6.616474
55.85,5.684331
55.9,5.022944
55.95,4.658875
56,4.455599
56.05,4.355248
56.1,4.174186
56.15,3.789186
56.2,3.504501
56.25,3.23939
56.3,2.933538
56.35,2.825799
56.4,2.660694
56.45,2.614091
56.5,2.533693
56.55,2.651858
56.6,2.587861
56.65,2.291439
56.7,2.095272
56.75,1.894423
56.8,1.934005
56.85,2.021563
56.9,2.098599
56.95,1.917064
57,1.737144
57.05,1.794314
57.1,1.835141
57.15,1.727249
57.2,1.528114
57.25,1.248358
57.3,1.118357
57.35,1.201694
57.4,1.357206
57.45,1.381267
57.5,1.191597
57.55,1.151116
57.6,0.9894463
57.65,0.9613772
57.7,0.8610749
57.75,0.9851365
57.8,1.047909
57.85,1.139734
57.9,1.350987
57.95,1.206956
58,1.097705
58.05,1.058205
58.1,1.016629
58.15,1.051229
58.2,1.156873
58.25,1.246209
58.3,1.345158
58.35,1.441956
58.4,1.357337
58.45,1.341545
58.5,1.270283
58.55,1.096384
58.6,1.105688
58.65,1.147444
58.7,1.146026
58.75,1.307929
58.8,1.323657
58.85,1.047219
58.9,0.843739
58.95,0.7882729
59,0.8835703
59.05,1.135263
59.1,1.477983
59.15,1.439075
59.2,1.193513
59.25,1.138939
59.3,0.9907794
59.35,0.9765242
59.4,0.9199554
59.45,1.671394
59.5,4.315878
59.55,11.56811
59.6,27.09978
59.65,55.78103
59.7,101.3127
59.75,156.9766
59.8,212.4055
59.85,252.7188
59.9,264.9257
59.95,243.3371
60,196.614
60.05,140.839
60.1,89.86288
60.15,51.80213
60.2,27.94701
60.25,16.37637
60.3,11.52484
60.35,9.402779
60.4,8.284144
60.45,7.713162
60.5,7.103638
60.55,6.738472
60.6,6.372248
60.65,6.097454
60.7,5.87573
60.75,5.805538
60.8,5.65477
60.85,5.083697
60.9,4.615481
60.95,4.255954
61,3.894907
61.05,3.476721
61.1,2.968879
61.15,2.780042
61.2,2.779267
61.25,2.922942
61.3,3.046824
61.35,2.741432
61.4,2.443121
61.45,2.205473
61.5,2.205144
61.55,2.157604
61.6,2.21653
61.65,2.140802
61.7,1.94922
61.75,1.910954
61.8,1.99314
61.85,1.913859
61.9,1.79822
61.95,1.557987
62,1.484323
62.05,1.511831
62.1,1.637442
62.15,1.647442
62.2,1.600835
62.25,1.510616
62.3,1.297194
62.35,1.341237
62.4,1.38811
62.45,1.411577
62.5,1.495229
62.55,1.652553
62.6,1.622036
62.65,1.721966
62.7,1.779824
62.75,1.575823
62.8,1.112365
62.85,1.099655
62.9,1.065276
62.95,1.165171
63,1.434364
63.05,1.464501
63.1,1.294754
63.15,1.182243
63.2,1.291272
63.25,1.313347
63.3,1.324115
63.35,1.41753
63.4,1.348321
63.45,1.190412
63.5,1.27234
63.55,1.3208
63.6,1.283768
63.65,1.155746
63.7,1.314239
63.75,1.112368
63.8,1.065314
63.85,1.182306
63.9,1.303805
63.95,1.334261
64,1.416535
64.05,1.33467
64.1,1.1031
64.15,1.13952
64.2,1.324444
64.25,1.41049
64.3,1.368811
64.35,1.231759
64.4,1.115218
64.45,1.197461
64.5,1.09488
64.55,1.241264
64.6,1.132874
64.65,1.177532
64.7,1.277848
64.75,1.354053
64.8,1.352203
64.85,1.152293
64.9,1.124521
64.95,1.088208
65,1.149293
65.05,1.188991
65.1,1.264215
65.15,1.236333
65.2,1.202107
65.25,1.367511
65.3,1.500871
65.35,1.344092
65.4,1.500855
65.45,1.397499
65.5,1.29239
65.55,1.353243
65.6,1.432535
65.65,1.383747
65.7,1.541242
65.75,1.682997
65.8,1.485405
65.85,1.354932
65.9,1.259562
65.95,1.190454
66,1.299128
66.05,1.444363
66.1,1.489621
66.15,1.56421
66.2,1.323629
66.25,1.376456
66.3,1.241879
66.35,1.06641
66.4,0.9921902
66.45,0.9969416
66.5,1.009058
66.55,1.046139
66.6,1.280148
66.65,1.456531
66.7,1.545147
66.75,1.571252
66.8,1.347855
66.85,1.254683
66.9,1.174023
66.95,1.275119
67,1.460733
67.05,1.387735
67.1,1.613331
67.15,1.526375
67.2,1.310723
67.25,1.143756
67.3,1.198837
67.35,1.327139
67.4,1.264179
67.45,1.521807
67.5,1.581488
67.55,1.715749
67.6,1.889261
67.65,1.853172
67.7,1.768236
67.75,1.656534
67.8,1.899363
67.85,2.300282
67.9,2.676791
67.95,2.980946
68,3.292484
68.05,3.231346
68.1,2.997739
68.15,2.704861
68.2,2.527216
68.25,2.389604
68.3,3.092374
68.35,4.402076
68.4,6.939985
68.45,11.66967
68.5,19.79793
68.55,34.18335
68.6,57.42668
68.65,90.72674
68.7,133.6319
68.75,181.495
68.8,227.5679
68.85,260.9115
68.9,274.7614
68.95,264.5279
69,234.0313
69.05,190.2709
69.1,141.8327
69.15,98.78872
69.2,65.66246
69.25,43.27367
69.3,29.66512
69.35,22.69979
69.4,18.59328
69.45,15.63749
69.5,13.7112
69.55,12.47338
69.6,11.87452
69.65,11.41078
69.7,10.53366
69.75,9.39751
69.8,8.686527
69.85,8.365332
69.9,8.071795
69.95,7.784736
70,7.250174
70.05,6.739184
70.1,6.27191
70.15,5.818669
70.2,5.306443
70.25,4.570688
70.3,4.135858
70.35,3.969017
70.4,3.762046
70.45,3.446134
70.5,3.346324
70.55,3.19095
70.6,3.0679
70.65,2.834241
70.7,2.808499
70.75,2.719514
70.8,2.668883
70.85,2.649576
70.9,2.644305
70.95,2.616089
71,2.774393
71.05,2.79285
71.1,2.378041
71.15,1.823215
71.2,1.769088
71.25,1.84242
71.3,1.872173
